sample_id	Acetate_resistance	Acid_resistance	Aldehyde_resistance	Aluminum_resistance	Aminocoumarins	Aminoglycosides	Arsenic_resistance	Bacitracin	Biguanide_resistance	Biocide_and_metal_resistance	Cadmium_resistance	Cationic_antimicrobial_peptides	Chromium_resistance	Cobalt_resistance	Copper_resistance	Drug_and_biocide_and_metal_resistance	Drug_and_biocide_resistance	Drug_and_metal_resistance	Elfamycins	Fluoroquinolones	Fosfomycin	Fusidic_acid	Glycopeptides	Gold_resistance	Iron_resistance	Lead_resistance	Lipopeptides	MLS	Mercury_resistance	Metronidazole	Multi-biocide_resistance	Multi-drug_resistance	Multi-metal_resistance	Mupirocin	Mycobacterium_tuberculosis-specific_Drug	Naphthoquinone	Nickel_resistance	Nucleosides	Oxazolidinone	Peroxide_resistance	Phenicol	Phenolic_compound_resistance	Pleuromutilin	Polyamine_resistance	Quaternary_Ammonium_Compounds_(QACs)_resistance	Rifampin	Sodium_resistance	Spiropyrimidinetriones	Sulfonamides	Tellurium_resistance	Tetracenomycin	Tetracyclines	Trimethoprim	Tungsten_Resistance	Zinc_resistance	betalactams
ERR2185436	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	2.0
ERR2185437	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0
ERR2185438	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	3.0
ERR2185439	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	1.0	4.0
ERR2185440	0.0	2.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0	3.0	2.0	13.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	2.0	1.0	0.0	3.0	4.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	3.0	6.0
ERR2185441	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	7.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	4.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	1.0	1.0	5.0
ERR2185442	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	3.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	3.0
ERR2185443	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	10.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	2.0	5.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0	0.0	1.0	1.0	6.0
ERR2185444	0.0	2.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	4.0	20.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	5.0	7.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	5.0	0.0	1.0	2.0	8.0
ERR2185445	0.0	1.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	10.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	3.0	5.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	7.0	0.0	1.0	1.0	7.0
ERR2185446	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	2.0	13.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	2.0	4.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	4.0	0.0	1.0	1.0	7.0
SRR23967288	0.0	5.0	0.0	1.0	8.0	16.0	14.0	9.0	0.0	10.0	1.0	7.0	0.0	0.0	15.0	8.0	25.0	3.0	5.0	7.0	5.0	3.0	11.0	1.0	8.0	1.0	13.0	10.0	8.0	0.0	14.0	22.0	22.0	0.0	11.0	1.0	13.0	1.0	1.0	0.0	3.0	13.0	1.0	0.0	4.0	6.0	0.0	1.0	2.0	1.0	0.0	11.0	1.0	8.0	13.0	12.0
SRR23967289	2.0	14.0	2.0	0.0	11.0	32.0	26.0	14.0	2.0	33.0	5.0	25.0	1.0	8.0	30.0	29.0	56.0	16.0	8.0	13.0	1.0	6.0	25.0	5.0	15.0	11.0	31.0	20.0	10.0	0.0	35.0	54.0	46.0	0.0	9.0	0.0	38.0	2.0	1.0	3.0	7.0	21.0	1.0	0.0	9.0	6.0	1.0	0.0	2.0	6.0	2.0	26.0	2.0	16.0	37.0	33.0
SRR23967290	6.0	20.0	6.0	0.0	29.0	57.0	39.0	31.0	1.0	58.0	5.0	24.0	3.0	9.0	35.0	38.0	92.0	15.0	13.0	34.0	6.0	10.0	30.0	5.0	32.0	11.0	37.0	50.0	13.0	0.0	72.0	89.0	72.0	0.0	16.0	0.0	62.0	1.0	0.0	4.0	5.0	38.0	0.0	1.0	14.0	13.0	0.0	0.0	4.0	6.0	4.0	51.0	7.0	34.0	57.0	58.0
SRR23967291	6.0	19.0	5.0	0.0	29.0	58.0	42.0	32.0	1.0	57.0	5.0	24.0	2.0	8.0	34.0	36.0	90.0	14.0	13.0	35.0	6.0	10.0	29.0	5.0	32.0	10.0	36.0	53.0	12.0	0.0	69.0	88.0	73.0	0.0	16.0	0.0	62.0	1.0	0.0	5.0	6.0	36.0	0.0	1.0	14.0	12.0	0.0	0.0	4.0	5.0	4.0	52.0	8.0	34.0	56.0	60.0
SRR23967292	6.0	20.0	5.0	0.0	28.0	58.0	41.0	31.0	1.0	54.0	5.0	24.0	2.0	8.0	33.0	35.0	87.0	13.0	13.0	34.0	5.0	10.0	28.0	5.0	32.0	10.0	34.0	51.0	12.0	0.0	68.0	87.0	72.0	0.0	15.0	0.0	60.0	2.0	0.0	5.0	6.0	36.0	0.0	1.0	15.0	12.0	0.0	0.0	4.0	5.0	4.0	52.0	7.0	34.0	54.0	56.0
SRR23967293	6.0	15.0	0.0	1.0	16.0	31.0	25.0	18.0	0.0	38.0	4.0	18.0	1.0	6.0	28.0	27.0	67.0	7.0	8.0	22.0	3.0	5.0	23.0	5.0	19.0	9.0	26.0	27.0	10.0	0.0	49.0	61.0	52.0	0.0	18.0	0.0	39.0	1.0	0.0	3.0	8.0	24.0	0.0	1.0	9.0	9.0	0.0	0.0	3.0	2.0	2.0	31.0	6.0	21.0	44.0	40.0
