Contig	ERR2185436	ERR2185437	ERR2185438	ERR2185439	ERR2185440	ERR2185441	ERR2185442	ERR2185443	ERR2185444	ERR2185445	ERR2185446	SRR23967288	SRR23967289	SRR23967290	SRR23967291	SRR23967292	SRR23967293	SRR23967294	SRR23967295	SRR23967296	SRR23967297	SRR23967298	SRR23967299	SRR23967300	SRR23967301	SRR23967302	SRR23967303	SRR23967304	SRR23967305
ERR2185436_RNODE_1_length_1610_cov_5.48010	100	9.56	0	11.05	14.65	0	0	0	0	0	0	26.01	93.23	26.01	16.08	0	18.56	0	0	100	100	100	0	34.33	0	72.38	100	0	0
ERR2185436_RNODE_2_length_1833_cov_5.73000	100	0	0	0	11.02	0	0	0	0	0	0	22.8	100	81.61	72.72	77.14	30.55	0	0	100	100	100	0	99.13	0	94.44	100	0	0
ERR2185436_RNODE_3_length_1782_cov_13.79726	100	19.13	0	21.99	11.05	0	0	0	0	0	0	0	83.45	55.92	78.07	41.62	7.85	7.85	0	100	100	100	15.7	40.61	0	84.18	88.5	0	0
ERR2185436_RNODE_4_length_1230_cov_2.17031	100	0	0	15.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185436_RNODE_6_length_1500_cov_5.59565	100	18.45	9.59	91.61	36.58	93.74	0	96	0	93.74	21.45	0	100	83.41	97	90.27	18.65	47.04	42.17	0	77.61	84.41	0	0	72.55	0	84.41	18.05	89.01
ERR2185437_RNODE_1_length_5594_cov_11.57400	56.8	100	99.55	86.34	100	92.74	58.43	76.93	100	88.26	23.5	0	68.1	92.24	99.29	97.41	60.61	100	100	19.02	35.12	39.84	0	75.71	12.46	0	31.62	36.48	11.74
ERR2185437_RNODE_2_length_2272_cov_18.00790	0	100	19.4	5.63	75.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERR2185437_RNODE_3_length_4905_cov_16.93820	75.27	100	100	95.23	100	89.64	37.49	57.21	100	86.95	72.88	0	38.25	92.09	91.34	96.41	14.09	100	99.41	5.71	14.66	24.55	0	13.01	0	0	8.52	37.84	5.69
ERR2185438_RNODE_1_length_1199_cov_15.05090	97.08	100	100	100	100	100	99.92	81.48	100	100	100	96	100	100	100	100	100	100	100	99.67	86.57	92.66	100	96.83	100	68.56	92.74	100	0
ERR2185438_RNODE_2_length_2682_cov_16.60853	0	5.18	100	0	0	0	0	0	0	0	0	0	0	6.71	6.34	5.93	7.12	6.93	6.6	0	0	7.04	6.34	6.97	0	5.14	5.11	7.08	6.08
