Sample	ORF_count
SRR23967302	20924
SRR23967294	20901
SRR23967303	20895
SRR23967295	20650
SRR23967293	19601
SRR23967296	19574
SRR23967298	17982
SRR23967297	17899
SRR23967292	17194
SRR23967291	17151
SRR23967304	17141
SRR23967290	17041
SRR23967300	15400
SRR23967299	14202
SRR23967305	10440
SRR23967288	8739
SRR23967289	8360
SRR23967301	6114
ERR2185444	547
ERR2185446	293
ERR2185440	290
ERR2185445	270
ERR2185443	233
ERR2185436	182
ERR2185441	179
ERR2185438	136
ERR2185439	111
ERR2185437	106
ERR2185442	87
