sample_id,sample_title,read_count,SCAPP Total,SCAPP Confident,Station,date,Temperature,sampling_year,station_name,region,include_env,station_group,MNZ,SMX,TMP,NOR,CIP,CLI,CLR,ERY,AZM,BOD,COD,TSS,TN,season
ERR2185436,WMS River Middle Section 2015,2757225,6,1,RM15,2015,NA,2015,RM15,River Middle,TRUE,RM15,0.18,0.17,0.05,2.03,0.54,0.02,0.47,0.01,0.56,57,96,28,13,Aug - Nov
ERR2185445,WMS Hospital C wastewater 2015,4340230,12,7,HC15,2015,NA,2015,HC15,Hospital C,TRUE,HC15,8.345,6.43,1.285,4.92,5.825,4.55,9.62,0,6.095,385.6666667,701.3333333,89.33333333,53,Aug - Nov
ERR2185440,WMS River Lower Section 2016,3125086,6,4,RL16,2016,NA,2016,RL16,River Lower,FALSE,RL16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May - June
ERR2185442,WMS Hospital A wastewater 2016,591759,3,3,HA16,2016,NA,2016,HA16,Hospital A,FALSE,HA16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May - June
ERR2185444,WMS Hospital B wastewater 2016,7930098,99,42,HB16,2016,NA,2016,HB16,Hospital B,FALSE,HB16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May - June
ERR2185446,WMS Hospital C wastewater 2016,5435614,28,18,HC16,2016,NA,2016,HC16,Hospital C,FALSE,HC16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May - June
ERR2185437,WMS River Middle Section 2016,1519358,3,3,RM16,2016,NA,2016,RM16,River Middle,FALSE,RM16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May - June
ERR2185438,WMS River Source 2016,1900028,2,1,RS16,2016,NA,2016,RS16,River Source,FALSE,RS16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May - June
ERR2185439,WMS River Lower Section 2015,2562282,1,1,RL15,2015,NA,2015,RL15,River Lower,TRUE,RL15,0.33,1.4,0.29,2.12,0.68,0.01,0.93,0.05,0.99,247.1,433,100,12,Aug - Nov
ERR2185441,WMS Hospital A wastewater 2015,3151861,5,1,HA15,2015,NA,2015,HA15,Hospital A,TRUE,HA15,0.36,7.31,3.57,32.825,0.78,0.645,0,0.02,0.25,337.3333333,641.6666667,110,54,Aug - Nov
ERR2185443,WMS Hospital B wastewater 2015,3880379,12,2,HB15,2015,NA,2015,HB15,Hospital B,TRUE,HB15,4.985,2.95,6.355,7.195,6.02,3.765,1.16,0.04,1.145,180.7666667,326,106.6666667,47.66666667,Aug - Nov
