Feature	PlotLabel	Category
OriV_region_1	OriV	Origin
SRR23967291_RNODE_391_length_4410_cov_4.98794_8		Other
SRR23967291_RNODE_391_length_4410_cov_4.98794_9	Lipoprotein	Other
SRR23967291_RNODE_391_length_4410_cov_4.98794_10	Lipoprotein	Other
SRR23967291_RNODE_391_length_4410_cov_4.98794_5	Resolvase	Recombination
SRR23967291_RNODE_391_length_4410_cov_4.98794_6	Rep protein	Replication
SRR23967299_RNODE_289_length_7115_cov_5.10468_11		Other
SRR23967299_RNODE_289_length_7115_cov_5.10468_12	Integrase	Recombination
SRR23967299_RNODE_289_length_7115_cov_5.10468_13		Other
SRR23967299_RNODE_289_length_7115_cov_5.10468_14		Other
SRR23967299_RNODE_289_length_7115_cov_5.10468_15	Primase	Replication
SRR23967299_RNODE_289_length_7115_cov_5.10468_6	RelE toxin	Addiction
SRR23967299_RNODE_289_length_7115_cov_5.10468_7	RelB antitoxin	Addiction
SRR23967299_RNODE_289_length_7115_cov_5.10468_8		Other
SRR23967299_RNODE_289_length_7115_cov_5.10468_9		Other
SRR23967299_RNODE_289_length_7115_cov_5.10468_10		Other
SRR23967300_RNODE_361_length_5107_cov_5.33362_7		Other
SRR23967300_RNODE_361_length_5107_cov_5.33362_8		Other
SRR23967300_RNODE_361_length_5107_cov_5.33362_9		Other
OriV_region_2	OriV	Origin
SRR23967300_RNODE_361_length_5107_cov_5.33362_4		Other
SRR23967300_RNODE_361_length_5107_cov_5.33362_5		Other
SRR23967300_RNODE_361_length_5107_cov_5.33362_6	Rep protein	Replication
SRR23967300_RNODE_66_length_2846_cov_9.00320_6	Plasmid maintenance	Maintenance
SRR23967300_RNODE_66_length_2846_cov_9.00320_7		Other
SRR23967300_RNODE_66_length_2846_cov_9.00320_4	Partition protein	Maintenance
SRR23967301_RNODE_242_length_5723_cov_76.02694_13		Other
SRR23967301_RNODE_242_length_5723_cov_76.02694_14	MobC	Mobility
SRR23967301_RNODE_242_length_5723_cov_76.02694_15		Other
SRR23967301_RNODE_242_length_5723_cov_76.02694_5		Other
SRR23967301_RNODE_242_length_5723_cov_76.02694_6		Other
SRR23967301_RNODE_242_length_5723_cov_76.02694_7		Other
SRR23967301_RNODE_242_length_5723_cov_76.02694_8	CopG regulator	Replication
SRR23967301_RNODE_242_length_5723_cov_76.02694_9	RelE toxin	Addiction
SRR23967301_RNODE_242_length_5723_cov_76.02694_10		Other
SRR23967301_RNODE_242_length_5723_cov_76.02694_11		Other
