plasmid_id	orf_id	start	end	strand	COG_category	COG_description	Domains	AMR_class	AMR_mechanism	AMR_gene	AMR_identity
ERR2185436_RNODE_1_length_1610_cov_5.48010	ERR2185436_RNODE_1_length_1610_cov_5.48010_4	1159	1539	-1	S	Plays a critical role in the metabolism of the essential lipid carrier used for cell wall synthesis					
ERR2185436_RNODE_1_length_1610_cov_5.48010	ERR2185436_RNODE_1_length_1610_cov_5.48010_5	1789	1932	-1	GM	PFAM NAD-dependent epimerase dehydratase	G3DSA:3.40.50.720|-;PF01370|NAD dependent epimerase/dehydratase family;SSF51735|NAD(P)-binding Rossmann-fold domains				
ERR2185436_RNODE_1_length_1610_cov_5.48010	ERR2185436_RNODE_1_length_1610_cov_5.48010_6	2068	2283	-1	-	-					
ERR2185436_RNODE_1_length_1610_cov_5.48010	ERR2185436_RNODE_1_length_1610_cov_5.48010_7	2286	2759	-1	S	Toxic component of a toxin-antitoxin (TA) module. An RNase	G3DSA:3.40.50.1010|-;PF01850|PIN domain;SSF88723|PIN domain-like;cd18687|PIN_VapC-like				
ERR2185436_RNODE_2_length_1833_cov_5.73000	ERR2185436_RNODE_2_length_1833_cov_5.73000_2	1880	3412	1	L	PFAM Transposase	PF05598|Transposase domain (DUF772);PTHR35604|TRANSPOSASE INSH FOR INSERTION SEQUENCE ELEMENT IS5A-RELATED;mobidb-lite|consensus disorder prediction				
ERR2185436_RNODE_3_length_1782_cov_13.79726	ERR2185436_RNODE_3_length_1782_cov_13.79726_2	2052	3545	1	L	Pfam Transposase	PF01609|Transposase DDE domain;PTHR33258|TRANSPOSASE INSL FOR INSERTION SEQUENCE ELEMENT IS186A-RELATED;SSF53098|Ribonuclease H-like				
ERR2185436_RNODE_4_length_1230_cov_2.17031	ERR2185436_RNODE_4_length_1230_cov_2.17031_2	920	2041	1							
ERR2185436_RNODE_6_length_1500_cov_5.59565	ERR2185436_RNODE_6_length_1500_cov_5.59565_2	1268	2542	1	L	Transposase	NF033550|NCBIFAM: ISL3 family transposase;PF01610|Transposase;PF13542|Helix-turn-helix domain of transposase family ISL3;PF14690|zinc-finger of transposase IS204/IS1001/IS1096/IS1165;PTHR33498|TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT IS1557				
ERR2185437_RNODE_1_length_5594_cov_11.57400	ERR2185437_RNODE_1_length_5594_cov_11.57400_3	3355	5280	-1	Q	Alkyl sulfatase dimerisation	Coil|Coil;G3DSA:1.25.40.880|Alkyl sulfatase, dimerisation domain;G3DSA:3.30.1050.10|-;G3DSA:3.60.15.30:FF:000001|Alkyl/aryl-sulfatase BDS1;G3DSA:3.60.15.30|-;PF00753|Metallo-beta-lactamase superfamily;PF14863|Alkyl sulfatase dimerisation;PF14864|Alkyl sulfatase C-terminal;PTHR43223|ALKYL/ARYL-SULFATASE;SM00849|Lactamase_B_5a;SSF55718|SCP-like;SSF56281|Metallo-hydrolase/oxidoreductase;cd07710|arylsulfatase_Sdsa1-like_MBL-fold				
ERR2185437_RNODE_1_length_5594_cov_11.57400	ERR2185437_RNODE_1_length_5594_cov_11.57400_4	6511	6912	1	S	Bacterial mobilisation protein (MobC)	PF05713|Bacterial mobilisation protein (MobC)				
ERR2185437_RNODE_1_length_5594_cov_11.57400	ERR2185437_RNODE_1_length_5594_cov_11.57400_5	6902	8716	1	S	Relaxase/Mobilisation nuclease domain	PF03432|Relaxase/Mobilisation nuclease domain;mobidb-lite|consensus disorder prediction				
ERR2185437_RNODE_2_length_2272_cov_18.00790	ERR2185437_RNODE_2_length_2272_cov_18.00790_3	1429	2286	-1							
ERR2185437_RNODE_2_length_2272_cov_18.00790	ERR2185437_RNODE_2_length_2272_cov_18.00790_4	2321	2698	1							
ERR2185437_RNODE_2_length_2272_cov_18.00790	ERR2185437_RNODE_2_length_2272_cov_18.00790_5	3119	3487	-1							
ERR2185437_RNODE_3_length_4905_cov_16.93820	ERR2185437_RNODE_3_length_4905_cov_16.93820_5	2958	3479	-1	S	Bacterial mobilisation protein (MobC)	Coil|Coil;PF05713|Bacterial mobilisation protein (MobC)				
ERR2185437_RNODE_3_length_4905_cov_16.93820	ERR2185437_RNODE_3_length_4905_cov_16.93820_6	3754	3975	-1							
ERR2185437_RNODE_3_length_4905_cov_16.93820	ERR2185437_RNODE_3_length_4905_cov_16.93820_7	4095	5066	-1	KT	Primase C terminal 1 (PriCT-1)	G3DSA:1.10.340.50|-;PF03090|Replicase family;PF08708|Primase C terminal 1 (PriCT-1);PF13384|Homeodomain-like domain;SSF46689|Homeodomain-like				
ERR2185437_RNODE_3_length_4905_cov_16.93820	ERR2185437_RNODE_3_length_4905_cov_16.93820_8	5282	5575	-1	S	ParE toxin of type II toxin-antitoxin system, parDE	G3DSA:3.30.2310.20|-;PF05016|ParE toxin of type II toxin-antitoxin system, parDE				
